region_id,date,avg_conflict_intensity
al bayda,2023-03-01,2.8903718
al bayda,2023-04-01,5.1059456
al bayda,2023-05-01,5.1357985
al bayda,2023-06-01,3.7376697
al bayda,2023-07-01,4.6051702
al bayda,2023-08-01,5.5984221
al bayda,2023-09-01,4.1896548
al bayda,2023-10-01,5.2574954
al bayda,2023-11-01,5.1416636
al bayda,2023-12-01,4.9052749
al bayda,2024-01-01,6.1800165
al bayda,2024-02-01,7.0121155
al bayda,2024-03-01,6.8134445999999995
al bayda,2024-04-01,5.9814143
al bayda,2024-05-01,4.7184987
al dhale'e,2020-07-01,9.5661945
al dhale'e,2020-08-01,9.8116465
al dhale'e,2020-09-01,9.9185734
al dhale'e,2020-10-01,9.353054
al dhale'e,2020-11-01,8.3893595
al dhale'e,2020-12-01,9.1576777
al dhale'e,2021-01-01,8.0443058
al dhale'e,2021-02-01,8.1693363
al dhale'e,2021-03-01,6.896694200000001
al dhale'e,2021-04-01,8.8056746
al dhale'e,2021-05-01,8.12148
al dhale'e,2021-06-01,7.0900769
al dhale'e,2021-07-01,6.553933599999999
al dhale'e,2021-08-01,7.700748
al dhale'e,2021-09-01,6.3561077
al dhale'e,2021-10-01,6.927557899999999
al dhale'e,2021-11-01,7.7424021
al dhale'e,2021-12-01,2.6390574
al dhale'e,2022-01-01,5.1059456
al dhale'e,2022-02-01,7.4944301
al dhale'e,2022-03-01,5.9989367
al dhale'e,2022-04-01,6.473890800000001
al dhale'e,2022-05-01,6.897705099999999
al dhale'e,2022-06-01,7.1244783
al dhale'e,2022-07-01,6.5820251
al dhale'e,2022-08-01,3.9889841000000006
al dhale'e,2022-09-01,6.7019606
al dhale'e,2022-10-01,6.9196839
al dhale'e,2022-11-01,6.651571800000001
al dhale'e,2022-12-01,7.7106533
al dhale'e,2023-01-01,6.0402546
al dhale'e,2023-02-01,6.659294099999999
al dhale'e,2023-03-01,7.3827462
al dhale'e,2023-04-01,5.1059456
al dhale'e,2023-05-01,5.9506426
al dhale'e,2023-06-01,6.1355648
al dhale'e,2023-07-01,6.3868794
al dhale'e,2023-08-01,5.6524892
al dhale'e,2023-09-01,6.6821084
al dhale'e,2023-10-01,7.2751722
al dhale'e,2023-11-01,6.6437898
