2024-10-14 17:22:22,522 - DEBUG - Prepared data for ('al maharah', 'onions'): 47 records
2024-10-14 17:22:22,523 - DEBUG - Prepared data for ('al maharah', 'potatoes'): 47 records
2024-10-14 17:22:22,524 - DEBUG - Prepared data for ('al maharah', 'rice (imported)'): 47 records
2024-10-14 17:22:22,524 - DEBUG - Prepared data for ('al maharah', 'salt'): 47 records
2024-10-14 17:22:22,528 - DEBUG - Prepared data for ('al maharah', 'sugar'): 47 records
2024-10-14 17:22:22,530 - DEBUG - Prepared data for ('al maharah', 'tomatoes'): 47 records
2024-10-14 17:22:22,531 - DEBUG - Prepared data for ('al maharah', 'wheat'): 47 records
2024-10-14 17:22:22,532 - DEBUG - Prepared data for ('al maharah', 'wheat flour'): 47 records
2024-10-14 17:22:22,534 - DEBUG - Prepared data for ('al mahwit', 'beans (kidney red)'): 44 records
2024-10-14 17:22:22,535 - DEBUG - Prepared data for ('al mahwit', 'beans (white)'): 47 records
2024-10-14 17:22:22,537 - DEBUG - Prepared data for ('al mahwit', 'eggs'): 47 records
2024-10-14 17:22:22,539 - DEBUG - Prepared data for ('al mahwit', 'exchange rate (unofficial)'): 47 records
2024-10-14 17:22:22,540 - DEBUG - Prepared data for ('al mahwit', 'fuel (diesel)'): 47 records
2024-10-14 17:22:22,541 - DEBUG - Prepared data for ('al mahwit', 'fuel (gas)'): 47 records
2024-10-14 17:22:22,542 - DEBUG - Prepared data for ('al mahwit', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 17:22:22,543 - DEBUG - Prepared data for ('al mahwit', 'lentils'): 47 records
2024-10-14 17:22:22,544 - DEBUG - Prepared data for ('al mahwit', 'milling cost (wheat)'): 47 records
2024-10-14 17:22:22,546 - DEBUG - Prepared data for ('al mahwit', 'oil (vegetable)'): 47 records
2024-10-14 17:22:22,547 - DEBUG - Prepared data for ('al mahwit', 'onions'): 47 records
2024-10-14 17:22:22,547 - DEBUG - Prepared data for ('al mahwit', 'potatoes'): 47 records
2024-10-14 17:22:22,548 - DEBUG - Prepared data for ('al mahwit', 'rice (imported)'): 47 records
2024-10-14 17:22:22,549 - DEBUG - Prepared data for ('al mahwit', 'salt'): 47 records
2024-10-14 17:22:22,550 - DEBUG - Prepared data for ('al mahwit', 'sugar'): 47 records
2024-10-14 17:22:22,551 - DEBUG - Prepared data for ('al mahwit', 'tomatoes'): 47 records
2024-10-14 17:22:22,552 - DEBUG - Prepared data for ('al mahwit', 'wheat'): 47 records
2024-10-14 17:22:22,553 - DEBUG - Prepared data for ('al mahwit', 'wheat flour'): 47 records
2024-10-14 17:22:22,555 - DEBUG - Prepared data for ('amran', 'beans (kidney red)'): 44 records
2024-10-14 17:22:22,556 - DEBUG - Prepared data for ('amran', 'beans (white)'): 47 records
2024-10-14 17:22:22,557 - DEBUG - Prepared data for ('amran', 'eggs'): 47 records
2024-10-14 17:22:22,558 - DEBUG - Prepared data for ('amran', 'exchange rate (unofficial)'): 47 records
2024-10-14 17:22:22,559 - DEBUG - Prepared data for ('amran', 'fuel (diesel)'): 47 records
2024-10-14 17:22:22,561 - DEBUG - Prepared data for ('amran', 'fuel (gas)'): 47 records
2024-10-14 17:22:22,562 - DEBUG - Prepared data for ('amran', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 17:22:22,563 - DEBUG - Prepared data for ('amran', 'lentils'): 47 records
2024-10-14 17:22:22,564 - DEBUG - Prepared data for ('amran', 'milling cost (wheat)'): 47 records
2024-10-14 17:22:22,565 - DEBUG - Prepared data for ('amran', 'oil (vegetable)'): 47 records
2024-10-14 17:22:22,566 - DEBUG - Prepared data for ('amran', 'onions'): 47 records
2024-10-14 17:22:22,567 - DEBUG - Prepared data for ('amran', 'potatoes'): 47 records
2024-10-14 17:22:22,568 - DEBUG - Prepared data for ('amran', 'rice (imported)'): 47 records
2024-10-14 17:22:22,570 - DEBUG - Prepared data for ('amran', 'salt'): 47 records
2024-10-14 17:22:22,572 - DEBUG - Prepared data for ('amran', 'sugar'): 47 records
2024-10-14 17:22:22,573 - DEBUG - Prepared data for ('amran', 'tomatoes'): 47 records
2024-10-14 17:22:22,574 - DEBUG - Prepared data for ('amran', 'wheat'): 47 records
2024-10-14 17:22:22,575 - DEBUG - Prepared data for ('amran', 'wheat flour'): 47 records
2024-10-14 17:22:22,577 - DEBUG - Prepared data for ('dhamar', 'beans (kidney red)'): 44 records
2024-10-14 17:22:22,578 - DEBUG - Prepared data for ('dhamar', 'beans (white)'): 47 records
2024-10-14 17:22:22,579 - DEBUG - Prepared data for ('dhamar', 'eggs'): 47 records
2024-10-14 17:22:22,580 - DEBUG - Prepared data for ('dhamar', 'exchange rate (unofficial)'): 47 records
2024-10-14 17:22:22,581 - DEBUG - Prepared data for ('dhamar', 'fuel (diesel)'): 47 records
2024-10-14 17:22:22,582 - DEBUG - Prepared data for ('dhamar', 'fuel (gas)'): 47 records
2024-10-14 17:22:22,583 - DEBUG - Prepared data for ('dhamar', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 17:22:22,584 - DEBUG - Prepared data for ('dhamar', 'lentils'): 47 records
2024-10-14 17:22:22,586 - DEBUG - Prepared data for ('dhamar', 'milling cost (wheat)'): 47 records
2024-10-14 17:22:22,587 - DEBUG - Prepared data for ('dhamar', 'oil (vegetable)'): 47 records
2024-10-14 17:22:22,588 - DEBUG - Prepared data for ('dhamar', 'onions'): 47 records
2024-10-14 17:22:22,589 - DEBUG - Prepared data for ('dhamar', 'potatoes'): 47 records
2024-10-14 17:22:22,590 - DEBUG - Prepared data for ('dhamar', 'rice (imported)'): 47 records
2024-10-14 17:22:22,591 - DEBUG - Prepared data for ('dhamar', 'salt'): 47 records
2024-10-14 17:22:22,592 - DEBUG - Prepared data for ('dhamar', 'sugar'): 47 records
2024-10-14 17:22:22,593 - DEBUG - Prepared data for ('dhamar', 'tomatoes'): 47 records
2024-10-14 17:22:22,594 - DEBUG - Prepared data for ('dhamar', 'wheat'): 47 records
2024-10-14 17:22:22,595 - DEBUG - Prepared data for ('dhamar', 'wheat flour'): 47 records
2024-10-14 17:22:22,596 - DEBUG - Prepared data for ('hadramaut', 'beans (kidney red)'): 44 records
2024-10-14 17:22:22,597 - DEBUG - Prepared data for ('hadramaut', 'beans (white)'): 47 records
2024-10-14 17:22:22,598 - DEBUG - Prepared data for ('hadramaut', 'eggs'): 47 records
2024-10-14 17:22:22,599 - DEBUG - Prepared data for ('hadramaut', 'exchange rate (unofficial)'): 47 records
2024-10-14 17:22:22,599 - DEBUG - Prepared data for ('hadramaut', 'fuel (diesel)'): 47 records
2024-10-14 17:22:22,600 - DEBUG - Prepared data for ('hadramaut', 'fuel (gas)'): 47 records
2024-10-14 17:22:22,602 - DEBUG - Prepared data for ('hadramaut', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 17:22:22,602 - DEBUG - Prepared data for ('hadramaut', 'lentils'): 47 records
2024-10-14 17:22:22,604 - DEBUG - Prepared data for ('hadramaut', 'milling cost (wheat)'): 47 records
2024-10-14 17:22:22,604 - DEBUG - Prepared data for ('hadramaut', 'oil (vegetable)'): 47 records
2024-10-14 17:22:22,605 - DEBUG - Prepared data for ('hadramaut', 'onions'): 47 records
2024-10-14 17:22:22,606 - DEBUG - Prepared data for ('hadramaut', 'potatoes'): 47 records
2024-10-14 17:22:22,607 - DEBUG - Prepared data for ('hadramaut', 'rice (imported)'): 47 records
2024-10-14 17:22:22,607 - DEBUG - Prepared data for ('hadramaut', 'salt'): 47 records
2024-10-14 17:22:22,608 - DEBUG - Prepared data for ('hadramaut', 'sugar'): 47 records
2024-10-14 17:22:22,609 - DEBUG - Prepared data for ('hadramaut', 'tomatoes'): 47 records
2024-10-14 17:22:22,611 - DEBUG - Prepared data for ('hadramaut', 'wheat'): 47 records
2024-10-14 17:22:22,612 - DEBUG - Prepared data for ('hadramaut', 'wheat flour'): 47 records
2024-10-14 17:22:22,614 - DEBUG - Prepared data for ('hajjah', 'beans (kidney red)'): 44 records
2024-10-14 17:22:22,615 - DEBUG - Prepared data for ('hajjah', 'beans (white)'): 47 records
2024-10-14 17:22:22,615 - DEBUG - Prepared data for ('hajjah', 'eggs'): 47 records
2024-10-14 17:22:22,616 - DEBUG - Prepared data for ('hajjah', 'exchange rate (unofficial)'): 47 records
2024-10-14 17:22:22,617 - DEBUG - Prepared data for ('hajjah', 'fuel (diesel)'): 47 records
2024-10-14 17:22:22,619 - DEBUG - Prepared data for ('hajjah', 'fuel (gas)'): 47 records
2024-10-14 17:22:22,620 - DEBUG - Prepared data for ('hajjah', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 17:22:22,622 - DEBUG - Prepared data for ('hajjah', 'lentils'): 47 records
2024-10-14 17:22:22,623 - DEBUG - Prepared data for ('hajjah', 'milling cost (wheat)'): 47 records
2024-10-14 17:22:22,624 - DEBUG - Prepared data for ('hajjah', 'oil (vegetable)'): 47 records
2024-10-14 17:22:22,625 - DEBUG - Prepared data for ('hajjah', 'onions'): 47 records
2024-10-14 17:22:22,626 - DEBUG - Prepared data for ('hajjah', 'potatoes'): 47 records
2024-10-14 17:22:22,627 - DEBUG - Prepared data for ('hajjah', 'rice (imported)'): 47 records
2024-10-14 17:22:22,628 - DEBUG - Prepared data for ('hajjah', 'salt'): 47 records
2024-10-14 17:22:22,629 - DEBUG - Prepared data for ('hajjah', 'sugar'): 47 records
2024-10-14 17:22:22,630 - DEBUG - Prepared data for ('hajjah', 'tomatoes'): 47 records
2024-10-14 17:22:22,631 - DEBUG - Prepared data for ('hajjah', 'wheat'): 47 records
2024-10-14 17:22:22,632 - DEBUG - Prepared data for ('hajjah', 'wheat flour'): 47 records
2024-10-14 17:22:22,633 - DEBUG - Prepared data for ('ibb', 'beans (kidney red)'): 44 records
2024-10-14 17:22:22,634 - DEBUG - Prepared data for ('ibb', 'beans (white)'): 47 records
2024-10-14 17:22:22,635 - DEBUG - Prepared data for ('ibb', 'eggs'): 47 records
2024-10-14 17:22:22,636 - DEBUG - Prepared data for ('ibb', 'exchange rate (unofficial)'): 47 records
2024-10-14 17:22:22,637 - DEBUG - Prepared data for ('ibb', 'fuel (diesel)'): 47 records
2024-10-14 17:22:22,638 - DEBUG - Prepared data for ('ibb', 'fuel (gas)'): 47 records
2024-10-14 17:22:22,638 - DEBUG - Prepared data for ('ibb', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 17:22:22,639 - DEBUG - Prepared data for ('ibb', 'lentils'): 47 records
2024-10-14 17:22:22,640 - DEBUG - Prepared data for ('ibb', 'milling cost (wheat)'): 47 records
2024-10-14 17:22:22,641 - DEBUG - Prepared data for ('ibb', 'oil (vegetable)'): 47 records
2024-10-14 17:22:22,641 - DEBUG - Prepared data for ('ibb', 'onions'): 47 records
2024-10-14 17:22:22,643 - DEBUG - Prepared data for ('ibb', 'potatoes'): 47 records
2024-10-14 17:22:22,644 - DEBUG - Prepared data for ('ibb', 'rice (imported)'): 47 records
2024-10-14 17:22:22,644 - DEBUG - Prepared data for ('ibb', 'salt'): 47 records
2024-10-14 17:22:22,645 - DEBUG - Prepared data for ('ibb', 'sugar'): 47 records
2024-10-14 17:22:22,646 - DEBUG - Prepared data for ('ibb', 'tomatoes'): 47 records
