date,source,source_lat,source_lng,target,target_lat,target_lng,price_differential,source_price,target_price,flow_weight
2023-10-01,ibb,1545240.393413971,411980.9012852698,al dhale'e,1514911.5982678996,470879.9633936708,6.6974836175000005,5.388825032000001,12.086308649500001,6.6974836175000005
2023-10-01,ibb,1545240.393413971,411980.9012852698,dhamar,1607976.2967569984,434812.9555183367,0.4072545300952388,5.388825032000001,4.981570501904762,0.4072545300952388
2023-10-01,ibb,1545240.393413971,411980.9012852698,raymah,1626148.635239956,349117.30304702686,0.16864770609523738,5.388825032000001,5.557472738095238,0.16864770609523738
2023-10-01,ibb,1545240.393413971,411980.9012852698,lahj,1443403.357394038,487346.6774931812,2.8097813970476198,5.388825032000001,8.19860642904762,2.8097813970476198
2023-10-01,lahj,1443403.357394038,487346.6774931812,aden,1413414.8996473695,502024.6752111473,4.685462959999999,8.19860642904762,12.88406938904762,4.685462959999999
2023-10-01,lahj,1443403.357394038,487346.6774931812,abyan,1451453.433761742,540930.338796394,0.562781436190475,8.19860642904762,8.761387865238095,0.562781436190475
2023-10-01,lahj,1443403.357394038,487346.6774931812,al dhale'e,1514911.5982678996,470879.9633936708,3.887702220452381,8.19860642904762,12.086308649500001,3.887702220452381
2023-10-01,lahj,1443403.357394038,487346.6774931812,taizz,1501490.1068909634,393975.03232055355,0.6024714047619035,8.19860642904762,8.801077833809524,0.6024714047619035
2023-10-01,lahj,1443403.357394038,487346.6774931812,ibb,1545240.393413971,411980.9012852698,2.8097813970476198,8.19860642904762,5.388825032000001,2.8097813970476198
2023-10-01,marib,1709755.4170365373,535024.7951991099,sana'a,1683424.5251799258,444268.5254077898,5.867842967119047,10.960502739499999,5.092659772380952,5.867842967119047
2023-10-01,marib,1709755.4170365373,535024.7951991099,al jawf,1787696.8583625571,476286.69293194957,4.685734211499998,10.960502739499999,6.274768528000001,4.685734211499998
2023-10-01,marib,1709755.4170365373,535024.7951991099,amanat al asimah,1696998.714254215,413747.54216314765,3.347929841999999,10.960502739499999,7.6125728975,3.347929841999999
2023-10-01,marib,1709755.4170365373,535024.7951991099,dhamar,1607976.2967569984,434812.9555183367,5.978932237595237,10.960502739499999,4.981570501904762,5.978932237595237
2023-10-01,marib,1709755.4170365373,535024.7951991099,amran,1731425.0945279438,386679.5361423165,6.156697249023808,10.960502739499999,4.803805490476191,6.156697249023808
2023-10-01,raymah,1626148.635239956,349117.30304702686,al hudaydah,1636434.4562545866,279153.2519347584,0.9753979328571427,5.557472738095238,4.582074805238095,0.9753979328571427
2023-10-01,raymah,1626148.635239956,349117.30304702686,al mahwit,1710572.7821730792,343747.8114166759,0.7908998952380957,5.557472738095238,4.766572842857142,0.7908998952380957
2023-10-01,raymah,1626148.635239956,349117.30304702686,dhamar,1607976.2967569984,434812.9555183367,0.5759022361904762,5.557472738095238,4.981570501904762,0.5759022361904762
2023-10-01,raymah,1626148.635239956,349117.30304702686,amanat al asimah,1696998.714254215,413747.54216314765,2.0551001594047618,5.557472738095238,7.6125728975,2.0551001594047618
2023-10-01,raymah,1626148.635239956,349117.30304702686,ibb,1545240.393413971,411980.9012852698,0.16864770609523738,5.557472738095238,5.388825032000001,0.16864770609523738
2023-10-01,sana'a,1683424.5251799258,444268.5254077898,amanat al asimah,1696998.714254215,413747.54216314765,2.5199131251190474,5.092659772380952,7.6125728975,2.5199131251190474
2023-10-01,sana'a,1683424.5251799258,444268.5254077898,amran,1731425.0945279438,386679.5361423165,0.2888542819047615,5.092659772380952,4.803805490476191,0.2888542819047615
2023-10-01,sana'a,1683424.5251799258,444268.5254077898,dhamar,1607976.2967569984,434812.9555183367,0.11108927047619055,5.092659772380952,4.981570501904762,0.11108927047619055
2023-10-01,sana'a,1683424.5251799258,444268.5254077898,marib,1709755.4170365373,535024.7951991099,5.867842967119047,5.092659772380952,10.960502739499999,5.867842967119047
2023-10-01,sana'a,1683424.5251799258,444268.5254077898,al mahwit,1710572.7821730792,343747.8114166759,0.32608692952381,5.092659772380952,4.766572842857142,0.32608692952381
2023-10-01,shabwah,1607083.403143805,699110.4581984302,al bayda,1545869.2668154777,562191.4482966167,2.1516293175000003,7.9265354465,5.774906129,2.1516293175000003
2023-10-01,shabwah,1607083.403143805,699110.4581984302,marib,1709755.4170365373,535024.7951991099,3.033967292999999,7.9265354465,10.960502739499999,3.033967292999999
2023-10-01,shabwah,1607083.403143805,699110.4581984302,abyan,1451453.433761742,540930.338796394,0.8348524187380955,7.9265354465,8.761387865238095,0.8348524187380955
2023-10-01,shabwah,1607083.403143805,699110.4581984302,hadramaut,1688561.031182205,925529.1179596668,0.4578876835000001,7.9265354465,8.38442313,0.4578876835000001
2023-10-01,shabwah,1607083.403143805,699110.4581984302,al dhale'e,1514911.5982678996,470879.9633936708,4.159773203000001,7.9265354465,12.086308649500001,4.159773203000001
2023-10-01,socotra,1415534.3742756257,1484659.5682649969,al maharah,1805664.967681152,1269216.867839362,4.249359492807017,15.489582413333332,11.240222920526316,4.249359492807017
2023-10-01,socotra,1415534.3742756257,1484659.5682649969,hadramaut,1688561.031182205,925529.1179596668,7.105159283333332,15.489582413333332,8.38442313,7.105159283333332
2023-10-01,socotra,1415534.3742756257,1484659.5682649969,shabwah,1607083.403143805,699110.4581984302,7.563046966833332,15.489582413333332,7.9265354465,7.563046966833332
2023-10-01,socotra,1415534.3742756257,1484659.5682649969,al bayda,1545869.2668154777,562191.4482966167,9.714676284333333,15.489582413333332,5.774906129,9.714676284333333
2023-10-01,socotra,1415534.3742756257,1484659.5682649969,abyan,1451453.433761742,540930.338796394,6.728194548095237,15.489582413333332,8.761387865238095,6.728194548095237
2023-10-01,taizz,1501490.1068909634,393975.03232055355,ibb,1545240.393413971,411980.9012852698,3.4122528018095233,8.801077833809524,5.388825032000001,3.4122528018095233
2023-10-01,taizz,1501490.1068909634,393975.03232055355,al dhale'e,1514911.5982678996,470879.9633936708,3.2852308156904773,8.801077833809524,12.086308649500001,3.2852308156904773
2023-10-01,taizz,1501490.1068909634,393975.03232055355,lahj,1443403.357394038,487346.6774931812,0.6024714047619035,8.801077833809524,8.19860642904762,0.6024714047619035
2023-10-01,taizz,1501490.1068909634,393975.03232055355,dhamar,1607976.2967569984,434812.9555183367,3.819507331904762,8.801077833809524,4.981570501904762,3.819507331904762
2023-10-01,taizz,1501490.1068909634,393975.03232055355,raymah,1626148.635239956,349117.30304702686,3.243605095714286,8.801077833809524,5.557472738095238,3.243605095714286
2023-11-01,abyan,1451453.433761742,540930.338796394,lahj,1443403.357394038,487346.6774931812,0.694251586190477,8.76115284809524,8.066901261904762,0.694251586190477
2023-11-01,abyan,1451453.433761742,540930.338796394,aden,1413414.8996473695,502024.6752111473,4.324497867619046,8.76115284809524,13.085650715714285,4.324497867619046
2023-11-01,abyan,1451453.433761742,540930.338796394,al dhale'e,1514911.5982678996,470879.9633936708,3.347018106904761,8.76115284809524,12.108170955,3.347018106904761
2023-11-01,abyan,1451453.433761742,540930.338796394,al bayda,1545869.2668154777,562191.4482966167,2.938693353595239,8.76115284809524,5.8224594945,2.938693353595239
2023-11-01,abyan,1451453.433761742,540930.338796394,taizz,1501490.1068909634,393975.03232055355,0.3275703742857168,8.76115284809524,8.433582473809523,0.3275703742857168
2023-11-01,aden,1413414.8996473695,502024.6752111473,lahj,1443403.357394038,487346.6774931812,5.018749453809523,13.085650715714285,8.066901261904762,5.018749453809523
2023-11-01,aden,1413414.8996473695,502024.6752111473,abyan,1451453.433761742,540930.338796394,4.324497867619046,13.085650715714285,8.76115284809524,4.324497867619046
2023-11-01,aden,1413414.8996473695,502024.6752111473,al dhale'e,1514911.5982678996,470879.9633936708,0.9774797607142851,13.085650715714285,12.108170955,0.9774797607142851
2023-11-01,aden,1413414.8996473695,502024.6752111473,taizz,1501490.1068909634,393975.03232055355,4.652068241904763,13.085650715714285,8.433582473809523,4.652068241904763
2023-11-01,aden,1413414.8996473695,502024.6752111473,al bayda,1545869.2668154777,562191.4482966167,7.263191221214285,13.085650715714285,5.8224594945,7.263191221214285
2023-11-01,al bayda,1545869.2668154777,562191.4482966167,al dhale'e,1514911.5982678996,470879.9633936708,6.2857114605,5.8224594945,12.108170955,6.2857114605
2023-11-01,al bayda,1545869.2668154777,562191.4482966167,abyan,1451453.433761742,540930.338796394,2.938693353595239,5.8224594945,8.76115284809524,2.938693353595239
2023-11-01,al bayda,1545869.2668154777,562191.4482966167,lahj,1443403.357394038,487346.6774931812,2.244441767404762,5.8224594945,8.066901261904762,2.244441767404762
2023-11-01,al bayda,1545869.2668154777,562191.4482966167,dhamar,1607976.2967569984,434812.9555183367,0.802617651166667,5.8224594945,5.019841843333333,0.802617651166667
2023-11-01,al bayda,1545869.2668154777,562191.4482966167,aden,1413414.8996473695,502024.6752111473,7.263191221214285,5.8224594945,13.085650715714285,7.263191221214285
2023-11-01,al dhale'e,1514911.5982678996,470879.9633936708,ibb,1545240.393413971,411980.9012852698,6.7876976895,12.108170955,5.3204732655,6.7876976895
2023-11-01,al dhale'e,1514911.5982678996,470879.9633936708,lahj,1443403.357394038,487346.6774931812,4.041269693095238,12.108170955,8.066901261904762,4.041269693095238
2023-11-01,al dhale'e,1514911.5982678996,470879.9633936708,taizz,1501490.1068909634,393975.03232055355,3.6745884811904777,12.108170955,8.433582473809523,3.6745884811904777
2023-11-01,al dhale'e,1514911.5982678996,470879.9633936708,abyan,1451453.433761742,540930.338796394,3.347018106904761,12.108170955,8.76115284809524,3.347018106904761
2023-11-01,al dhale'e,1514911.5982678996,470879.9633936708,al bayda,1545869.2668154777,562191.4482966167,6.2857114605,12.108170955,5.8224594945,6.2857114605
2023-11-01,al hudaydah,1636434.4562545866,279153.2519347584,raymah,1626148.635239956,349117.30304702686,0.9255857147619047,4.594807761428571,5.520393476190476,0.9255857147619047
2023-11-01,al hudaydah,1636434.4562545866,279153.2519347584,al mahwit,1710572.7821730792,343747.8114166759,0.3272564871428578,4.594807761428571,4.922064248571429,0.3272564871428578
2023-11-01,al hudaydah,1636434.4562545866,279153.2519347584,hajjah,1735805.5042575903,351073.2264011586,0.9960240150714288,4.594807761428571,5.5908317765,0.9960240150714288
2023-11-01,al hudaydah,1636434.4562545866,279153.2519347584,amran,1731425.0945279438,386679.5361423165,0.2997889909523819,4.594807761428571,4.894596752380953,0.2997889909523819
2023-11-01,al hudaydah,1636434.4562545866,279153.2519347584,amanat al asimah,1696998.714254215,413747.54216314765,2.856682102071428,4.594807761428571,7.451489863499999,2.856682102071428
2023-11-01,al jawf,1787696.8583625571,476286.69293194957,marib,1709755.4170365373,535024.7951991099,4.9029610315,6.290174987,11.1931360185,4.9029610315
2023-11-01,al jawf,1787696.8583625571,476286.69293194957,amran,1731425.0945279438,386679.5361423165,1.3955782346190473,6.290174987,4.894596752380953,1.3955782346190473
2023-11-01,al jawf,1787696.8583625571,476286.69293194957,sana'a,1683424.5251799258,444268.5254077898,1.1316364022380956,6.290174987,5.158538584761905,1.1316364022380956
2023-11-01,al jawf,1787696.8583625571,476286.69293194957,amanat al asimah,1696998.714254215,413747.54216314765,1.1613148764999988,6.290174987,7.451489863499999,1.1613148764999988
2023-11-01,al jawf,1787696.8583625571,476286.69293194957,hajjah,1735805.5042575903,351073.2264011586,0.6993432105000004,6.290174987,5.5908317765,0.6993432105000004
